date,position,country,song,winning chance,BET365,UNIBET,COOL BET,SKY BET,BOYLE SPORTS, BETSSON ,BET FRED,BETFAIR SPORT,BET STARS,LAD BROKES, * SMARKETS,COMEON,10BET,888 SPORT,BETWAY, WILLIAM  HILL,BWIN,BETFAIR*  EXCHANGE 
2023-04-11,4,Norway,Alessandra - Queen of Kings,5%,15.0,11.0,15.0,12.0,15.0,12.0,13.0,13.0,13.0,15.0,20.0,13.0,13.0,,13.0,13.0,15.0,23.0
2023-04-11,5,Spain,Blanca Paloma - Eaea,5%,13.0,13.0,15.0,19.0,15.0,15.0,17.0,17.0,17.0,13.0,16.0,13.0,13.0,,13.0,13.0,13.0,18.0
2023-04-11,6,Israel,Noa Kirel - Unicorn,3%,26.0,26.0,23.0,21.0,21.0,25.0,21.0,21.0,26.0,21.0,28.0,21.0,21.0,,26.0,21.0,21.0,38.0
2023-04-11,7,Austria,Teya & Salena - Who The Hell Is Edgar?,3%,26.0,31.0,29.0,29.0,26.0,25.0,26.0,31.0,26.0,29.0,32.0,29.0,29.0,,26.0,29.0,21.0,38.0
2023-04-11,8,Czechia,Vesna - My Sister's Crown,2%,31.0,51.0,41.0,34.0,34.0,30.0,26.0,23.0,23.0,29.0,44.0,26.0,26.0,,29.0,26.0,26.0,50.0
2023-04-11,9,France,La Zarra - Évidemment,2%,34.0,41.0,41.0,34.0,34.0,35.0,41.0,26.0,26.0,34.0,48.0,34.0,34.0,,34.0,26.0,51.0,60.0
2023-04-11,10,United Kingdom,Mae Muller - I Wrote A Song,2%,46.0,76.0,61.0,41.0,34.0,60.0,41.0,31.0,41.0,34.0,50.0,34.0,34.0,,34.0,26.0,34.0,80.0
2023-04-11,11,Italy,Marco Mengoni - Due vite,1%,71.0,51.0,81.0,67.0,51.0,60.0,51.0,67.0,67.0,51.0,95.0,51.0,51.0,,67.0,41.0,51.0,100.0
2023-04-11,12,Armenia,Brunette - Future Lover,1%,71.0,67.0,81.0,101.0,67.0,80.0,67.0,67.0,67.0,67.0,100.0,67.0,67.0,,67.0,67.0,67.0,120.0
2023-04-11,13,Switzerland,Remo Forrer - Watergun,1%,126.0,101.0,101.0,126.0,81.0,100.0,67.0,81.0,101.0,81.0,240.0,81.0,81.0,,81.0,67.0,101.0,220.0
2023-04-11,14,Netherlands,Nicolai & Cooper - Burning Daylight,1%,81.0,101.0,81.0,126.0,126.0,100.0,101.0,126.0,101.0,151.0,270.0,101.0,101.0,,151.0,67.0,101.0,180.0
2023-04-11,15,Serbia,Luke Black - Samo mi se spava,1%,126.0,101.0,126.0,151.0,101.0,125.0,101.0,101.0,151.0,81.0,210.0,101.0,101.0,,101.0,101.0,101.0,160.0
2023-04-11,16,Georgia,Iru - Echo,1%,201.0,101.0,126.0,151.0,101.0,150.0,101.0,81.0,101.0,67.0,280.0,81.0,81.0,,101.0,67.0,101.0,350.0
2023-04-11,17,Australia,Voyager - Promise,1%,151.0,151.0,126.0,151.0,126.0,150.0,101.0,101.0,101.0,151.0,270.0,101.0,101.0,,126.0,101.0,101.0,240.0
2023-04-11,18,Croatia,Let 3 - Mama ŠČ!,1%,151.0,126.0,151.0,201.0,101.0,150.0,101.0,101.0,151.0,101.0,270.0,101.0,101.0,,101.0,101.0,101.0,260.0
2023-04-11,19,Moldova,Pasha Parfeni - Soarele și Luna,1%,201.0,126.0,126.0,151.0,126.0,150.0,101.0,101.0,151.0,101.0,270.0,101.0,101.0,,126.0,101.0,101.0,320.0
